age,height,income,sex_code,age_code,is_straight,is_gay_bi,is_white,is_asian,is_latin,is_black,is_islander,is_native,is_middle_eastern,is_indian,is_agnostic,is_catholic,is_atheist,is_non_catholic_christian,is_jewish,is_buddhist,is_hindu,is_muslim,high_income,middle_income,low_income,stem_career,health_career,law_career,artistic_career,education_career,business_career,financial_career,has_high_academic_degree,has_graduated,is_studying,has_chubby_body_type,has_fit_body_type,has_thin_body_type,has_average_body_type,eats_anything,eats_vegetarian,eats_vegan,eats_kosher,eats_halal,drinks_code,drugs_code,smokes_code,has_kids,has_no_kids,wants_kids,doesnt_want_kids,has_cats,has_dogs,likes_cats,likes_dogs,dislikes_cats,dislikes_dogs,essay_len,essay_count_words,essay_words_mean_length
35,70.0,80000.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.0,1.0,0.0,0,1,1,0,0,0,1,1,0,0,1453,278,4.215827338129497
23,71.0,20000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,477,79,5.012658227848101
28,72.0,40000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,4629,851,4.440658049353702
30,66.0,30000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,9,0,0.0
29,62.0,50000.0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,1,0,0,1,0,0,2609,463,4.634989200863931
40,71.0,60000.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,6938,1211,4.7299752270850535
31,67.0,1000000.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,4209,710,4.929577464788732
22,65.0,20000.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,397,67,4.895522388059701
35,73.0,150000.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2.0,1.0,0.0,0,1,1,0,0,0,1,1,0,0,2864,399,6.175438596491228
31,61.0,50000.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,2689,459,4.860566448801743
21,71.0,20000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1077,195,4.523076923076923
34,69.0,100000.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,3590,654,4.490825688073395
29,67.0,50000.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,49,7,4.857142857142857
29,67.0,40000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,1.0,0.0,0,0,0,1,0,0,1,1,0,0,1051,192,4.479166666666667
25,78.0,80000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2.0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,1947,396,3.909090909090909
41,69.0,1000000.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,5034,802,5.278054862842893
39,70.0,100000.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,779,143,4.4475524475524475
21,72.0,500000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1053,209,4.028708133971292
23,66.0,20000.0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.0,0.0,2.0,1,0,0,0,0,0,1,1,0,0,2970,567,4.239858906525574
